Date,Open,High,Low,Close,Change(Pips),Change(%)
10/18/2024 0:00,2693.49,2722.41,2692.9,2720.53,2704,0.99
10/17/2024 0:00,2674.12,2696.52,2673.39,2693.55,1943,0.72
10/16/2024 0:00,2659.97,2685.07,2658.78,2673.9,1393,0.52
10/15/2024 0:00,2649.3,2668.93,2638.23,2660.42,1112,0.42
10/14/2024 0:00,2645.21,2666.34,2643.32,2649.51,430,0.16
10/13/2024 0:00,2650.29,2650.75,2647.63,2648.11,-218,-0.08
10/11/2024 0:00,2633.98,2661.29,2631.7,2656.85,2287,0.86
10/10/2024 0:00,2608.5,2635.78,2601.78,2633.23,2473,0.94
10/9/2024 0:00,2623.03,2624.18,2605.2,2608.44,-1459,-0.56
10/8/2024 0:00,2642.7,2652.61,2605.72,2622.03,-2067,-0.79
10/7/2024 0:00,2649.29,2659.39,2638.26,2643.15,-614,-0.23
10/6/2024 0:00,2652.75,2652.75,2649,2650.45,-230,-0.09
10/4/2024 0:00,2655.62,2669.31,2632.11,2653.05,-257,-0.1
10/3/2024 0:00,2660.29,2662.71,2638.97,2655.87,-442,-0.17
10/2/2024 0:00,2660.44,2663.02,2641.05,2660.28,-16,-0.01
10/1/2024 0:00,2635.65,2673.1,2633.87,2660.44,2479,0.93
9/30/2024 0:00,2663.57,2665.9,2624.64,2635.66,-2791,-1.06
9/29/2024 0:00,2657.95,2665.07,2657.95,2663.54,559,0.21
9/27/2024 0:00,2672.43,2673.82,2643.37,2657.97,-1446,-0.54
9/26/2024 0:00,2656.78,2685.13,2655.31,2672.32,1554,0.58
9/25/2024 0:00,2657.7,2669.7,2650.55,2656.78,-92,-0.03
9/24/2024 0:00,2626.32,2664.39,2622.43,2658.14,3182,1.2
9/23/2024 0:00,2620.18,2634.79,2613.64,2626.32,614,0.23
9/22/2024 0:00,2619.51,2621.97,2618.29,2620.28,77,0.03
9/20/2024 0:00,2587.22,2625.55,2584.92,2621.74,3452,1.32
9/19/2024 0:00,2559,2594.4,2551.46,2587.22,2822,1.09
9/18/2024 0:00,2574.07,2599.8,2547.63,2558.37,-1570,-0.61
9/17/2024 0:00,2583.61,2586.13,2560.7,2573.98,-963,-0.37
9/16/2024 0:00,2579.19,2589.68,2575.22,2583.71,452,0.17
9/15/2024 0:00,2578.72,2580.64,2577.61,2579.23,51,0.02
9/13/2024 0:00,2558.63,2585.68,2556.84,2577.38,1875,0.73
9/12/2024 0:00,2511.62,2559.9,2510.94,2557.96,4634,1.81
9/11/2024 0:00,2518.57,2528.03,2501.67,2511.98,-659,-0.26
9/10/2024 0:00,2506.77,2518.66,2499.91,2518.66,1189,0.47
9/9/2024 0:00,2496.45,2507.51,2485.81,2506.51,1006,0.4
9/8/2024 0:00,2496.56,2498.33,2495.52,2496.84,28,0.01
9/6/2024 0:00,2517.18,2529.01,2485.1,2496.75,-2043,-0.82
9/5/2024 0:00,2495.76,2522.77,2492.9,2517.32,2156,0.86
9/4/2024 0:00,2493.04,2499.84,2471.95,2495.69,265,0.11
9/3/2024 0:00,2497.18,2505.97,2474.1,2492.64,-454,-0.18
9/2/2024 0:00,2502.91,2507.32,2489.89,2497.25,-566,-0.23
8/30/2024 0:00,2519.17,2526.7,2494.79,2502.98,-1619,-0.65
8/29/2024 0:00,2507.95,2528.48,2503.94,2519.37,1142,0.45
8/28/2024 0:00,2525.36,2525.59,2494.04,2507.84,-1752,-0.7
8/27/2024 0:00,2515.45,2528.82,2504.01,2525.07,962,0.38
8/26/2024 0:00,2515.46,2526.54,2508.6,2515.58,12,0
8/23/2024 0:00,2486.85,2518.1,2486.39,2512.01,2516,1
8/22/2024 0:00,2512.83,2514.25,2471.13,2487.04,-2579,-1.04
8/21/2024 0:00,2512.75,2519.76,2495.05,2512.43,-32,-0.01
8/20/2024 0:00,2503.96,2531.51,2497.44,2513.16,920,0.37
8/19/2024 0:00,2505.98,2507.24,2485.8,2503.64,-234,-0.09
8/16/2024 0:00,2457.33,2509.5,2450.4,2506.76,4943,1.97
8/15/2024 0:00,2449.64,2469.7,2432.93,2457.43,779,0.32
8/14/2024 0:00,2464.07,2478.2,2435.61,2449.26,-1481,-0.6
8/13/2024 0:00,2476.15,2476.72,2458.4,2463.87,-1228,-0.5
8/12/2024 0:00,2427.85,2475.84,2423.79,2475.32,4747,1.92
8/9/2024 0:00,2424.45,2436.87,2416.95,2430.71,626,0.26
8/8/2024 0:00,2384.8,2427.37,2383.31,2424.66,3986,1.64
8/7/2024 0:00,2384.37,2406.61,2379.39,2384.72,35,0.01
8/6/2024 0:00,2405.4,2417.77,2381.81,2384.05,-2135,-0.9
8/5/2024 0:00,2440.7,2457.18,2364.71,2404.79,-3591,-1.49
8/2/2024 0:00,2444.91,2476.93,2411.83,2442.08,-283,-0.12
8/1/2024 0:00,2445.94,2461.49,2430.25,2445.86,-8,0
7/31/2024 0:00,2409.74,2450.56,2404.22,2445.84,3610,1.48
7/30/2024 0:00,2380.88,2412.27,2376.3,2409.62,2874,1.19
7/29/2024 0:00,2397.17,2402.24,2369.86,2381.06,-1611,-0.68
7/26/2024 0:00,2363.99,2390.21,2356.14,2386.6,2261,0.95
7/25/2024 0:00,2398.75,2399.89,2353.24,2364.1,-3465,-1.47
7/24/2024 0:00,2408.86,2431.81,2393.18,2398.63,-1023,-0.43
7/23/2024 0:00,2395.56,2411.72,2387.6,2408.34,1278,0.53
7/22/2024 0:00,2411.34,2411.92,2384.31,2395.55,-1579,-0.66
7/19/2024 0:00,2425.98,2429.45,2393.92,2400.59,-2539,-1.06
7/18/2024 0:00,2461.19,2474.69,2440.44,2444.91,-1628,-0.67
7/17/2024 0:00,2471.24,2483.22,2451.2,2461.25,-999,-0.41
7/16/2024 0:00,2422.11,2469.56,2419.94,2468.27,4616,1.87
7/15/2024 0:00,2408.44,2439.53,2401.3,2422.37,1393,0.58
7/12/2024 0:00,2415.43,2418.06,2391.61,2410.93,-450,-0.19
7/11/2024 0:00,2372.52,2423.78,2371.48,2415.92,4340,1.8
7/10/2024 0:00,2365.2,2386.25,2363.51,2372.62,742,0.31
7/9/2024 0:00,2362.14,2368.49,2350.3,2365.01,287,0.12
7/8/2024 0:00,2385.89,2390.58,2350.7,2361.65,-2424,-1.03
7/5/2024 0:00,2356.73,2392.72,2355.98,2391.14,3441,1.44
7/4/2024 0:00,2358.76,2362.34,2350.69,2356.35,-241,-0.1
7/3/2024 0:00,2330.92,2364.57,2326.6,2359,2808,1.19
7/2/2024 0:00,2332.43,2336.2,2319.3,2330.08,-235,-0.1
7/1/2024 0:00,2324.86,2338.14,2318.27,2332.09,723,0.31
6/28/2024 0:00,2327.48,2339.25,2319.04,2326.15,-133,-0.06
6/27/2024 0:00,2298.36,2330.71,2296.3,2327.46,2910,1.25
6/26/2024 0:00,2319.79,2322.82,2294.26,2298.16,-2163,-0.94
6/25/2024 0:00,2330.21,2336.93,2315.73,2319.83,-1038,-0.45
6/24/2024 0:00,2318.59,2334.5,2317.1,2330.66,1207,0.52
6/21/2024 0:00,2360.95,2368.58,2317.15,2319.04,-4191,-1.81
6/20/2024 0:00,2329.23,2365.1,2327.4,2360.66,3143,1.33
6/19/2024 0:00,2328.48,2334.76,2323.87,2329.24,76,0.03
6/18/2024 0:00,2321.34,2332.63,2306.4,2328.24,690,0.3
6/17/2024 0:00,2327.74,2328.57,2309.73,2320.76,-698,-0.3
6/14/2024 0:00,2302.72,2336.2,2301.5,2332.3,2958,1.27
6/13/2024 0:00,2319.97,2325.88,2295.9,2302.16,-1781,-0.77
6/12/2024 0:00,2314.9,2341.16,2310.88,2320.46,556,0.24
6/11/2024 0:00,2310,2319.75,2297.9,2314.86,486,0.21
6/10/2024 0:00,2298.34,2313.5,2287.74,2309.88,1154,0.5
6/7/2024 0:00,2376.64,2387.49,2286,2293.51,-8313,-3.62
6/6/2024 0:00,2355.26,2378.17,2353.92,2376.68,2142,0.9
6/5/2024 0:00,2328.86,2357.23,2325.84,2354.98,2612,1.11
6/4/2024 0:00,2350.55,2352.32,2316.02,2328.66,-2189,-0.94
6/3/2024 0:00,2326.04,2354.29,2314.85,2350.39,2435,1.04
5/31/2024 0:00,2343.23,2359.33,2320.38,2325.76,-1747,-0.75
5/30/2024 0:00,2338.11,2350.99,2322.58,2343.72,561,0.24
5/29/2024 0:00,2359.59,2361.03,2334.8,2338.59,-2100,-0.9
5/28/2024 0:00,2352.35,2363.41,2339.9,2359.94,759,0.32
5/27/2024 0:00,2336.93,2358.25,2334.54,2352.27,1534,0.65
5/24/2024 0:00,2331.81,2347.08,2325.44,2333.04,123,0.05
5/23/2024 0:00,2382.21,2383.53,2327.33,2331.82,-5039,-2.16
5/22/2024 0:00,2421.81,2426.13,2374.99,2382.22,-3959,-1.66
5/21/2024 0:00,2425.75,2433.48,2406.89,2421.51,-424,-0.18
5/20/2024 0:00,2419.44,2449.93,2409.62,2426.12,668,0.28
5/17/2024 0:00,2378.18,2421.85,2373.6,2414.02,3584,1.48
5/16/2024 0:00,2391.57,2397.07,2371.04,2378.03,-1354,-0.57
5/15/2024 0:00,2355.94,2391.76,2352.39,2391.66,3572,1.49
5/14/2024 0:00,2338.14,2359.45,2334.6,2355.76,1762,0.75
5/13/2024 0:00,2360.08,2364.38,2332.77,2338.26,-2182,-0.93
5/10/2024 0:00,2346.7,2377.81,2346.1,2359.97,1327,0.56
5/9/2024 0:00,2308.72,2348.29,2306.86,2346.57,3785,1.61
5/8/2024 0:00,2315.96,2321.31,2304.29,2308.72,-724,-0.31
5/7/2024 0:00,2327.86,2329.72,2310.2,2315.13,-1273,-0.55
5/6/2024 0:00,2293.74,2331.82,2292.13,2325.64,3190,1.37
5/3/2024 0:00,2304.26,2319.52,2278.5,2301.93,-233,-0.1
5/2/2024 0:00,2324.49,2324.92,2285.63,2303.91,-2058,-0.89
5/1/2024 0:00,2291.98,2327.31,2283.2,2320.41,2843,1.23
4/30/2024 0:00,2333.01,2335.81,2285.26,2291.25,-4176,-1.82
4/29/2024 0:00,2336.56,2346.24,2322.31,2333.06,-350,-0.15
4/26/2024 0:00,2330.7,2351.93,2326.42,2337.48,678,0.29
4/25/2024 0:00,2316.28,2344.47,2307.6,2330.65,1437,0.62
4/24/2024 0:00,2323.32,2336.63,2311.5,2316.09,-723,-0.31
4/23/2024 0:00,2333.17,2334.11,2291.81,2323.48,-969,-0.42
4/22/2024 0:00,2386.84,2386.84,2325.22,2333.86,-5298,-2.27
4/19/2024 0:00,2379.59,2417.22,2372.99,2390.01,1042,0.44
4/18/2024 0:00,2368.53,2392.23,2364.44,2380.02,1149,0.48
4/17/2024 0:00,2382.89,2395.27,2358.51,2367.73,-1516,-0.64
4/16/2024 0:00,2380.83,2397.75,2362.28,2382.44,161,0.07
4/15/2024 0:00,2363.77,2391.86,2325.16,2381.8,1803,0.76
4/12/2024 0:00,2375.81,2430.7,2334.59,2343.65,-3216,-1.37
4/11/2024 0:00,2335.39,2378.63,2325.2,2376.77,4138,1.74
4/10/2024 0:00,2354.75,2359.9,2319.87,2335.47,-1928,-0.83
4/9/2024 0:00,2338.96,2365.04,2338.05,2354.73,1577,0.67
4/8/2024 0:00,2312.03,2350.28,2303.47,2338.89,2686,1.15
4/5/2024 0:00,2289.04,2330.13,2267.98,2329.57,4053,1.74
4/4/2024 0:00,2297.34,2305.03,2280.98,2288.92,-842,-0.37
4/3/2024 0:00,2279.73,2302.27,2266.01,2297.49,1776,0.77
4/2/2024 0:00,2248.57,2287.66,2246.5,2279.69,3112,1.37
4/1/2024 0:00,2244.75,2265.37,2228.57,2248.96,421,0.19
3/28/2024 0:00,2190.97,2233.81,2187,2231.91,4094,1.83
3/27/2024 0:00,2179.5,2197.32,2173.67,2190.55,1105,0.5
3/26/2024 0:00,2172.71,2199.64,2167.7,2179.61,690,0.32
3/25/2024 0:00,2168.42,2181.01,2163.9,2172.99,457,0.21
3/22/2024 0:00,2181.67,2185.85,2157.35,2165.13,-1654,-0.76
3/21/2024 0:00,2203.88,2211.57,2166.32,2181.69,-2219,-1.02
3/20/2024 0:00,2157.11,2222.06,2149.66,2203.89,4678,2.12
3/19/2024 0:00,2162.27,2162.77,2147.12,2157.06,-521,-0.24
3/18/2024 0:00,2156.5,2163.49,2145.3,2161.86,536,0.25
3/15/2024 0:00,2161.56,2172.44,2155.54,2155.78,-578,-0.27
3/14/2024 0:00,2175.28,2176.74,2152.98,2161.58,-1370,-0.63
3/13/2024 0:00,2156.91,2179.03,2156.7,2175.4,1849,0.85
3/12/2024 0:00,2183.87,2184.36,2150.53,2156.93,-2694,-1.25
3/11/2024 0:00,2182.11,2188.68,2175.7,2183.59,148,0.07
3/8/2024 0:00,2161.53,2194.89,2154.03,2178.76,1723,0.79
3/7/2024 0:00,2147.45,2163.15,2144.26,2162.04,1459,0.67
3/6/2024 0:00,2127.91,2152.07,2123.6,2147.44,1953,0.91
3/5/2024 0:00,2114.3,2141.62,2110,2128.17,1387,0.65
3/4/2024 0:00,2083.17,2119.61,2079.4,2114.52,3135,1.48
3/1/2024 0:00,2044.08,2088.03,2038.6,2082.65,3857,1.85
2/29/2024 0:00,2034.57,2050.42,2028.16,2044.13,956,0.47
2/28/2024 0:00,2030,2037.52,2024.5,2034.6,460,0.23
2/27/2024 0:00,2031.12,2039.29,2028.78,2030.08,-104,-0.05
2/26/2024 0:00,2033.79,2036.78,2025.2,2031.06,-273,-0.13
2/23/2024 0:00,2024.69,2041.16,2015.99,2035.39,1070,0.53
2/22/2024 0:00,2025.52,2034.37,2019.77,2024.79,-73,-0.04
2/21/2024 0:00,2023.8,2031.98,2020.47,2025.68,188,0.09
2/20/2024 0:00,2016.11,2030.66,2014.2,2024.07,796,0.39
2/19/2024 0:00,2012.87,2022.67,2007,2016.11,324,0.16
2/16/2024 0:00,2003.35,2015.02,1995.22,2013.01,966,0.48
2/15/2024 0:00,1993.79,2007.9,1990.18,2003.26,947,0.47
2/14/2024 0:00,1991.24,1996,1985.27,1993.75,251,0.13
2/13/2024 0:00,2018.76,2029.71,1990.19,1991.28,-2748,-1.38
2/12/2024 0:00,2025.25,2026.98,2011.3,2018.76,-649,-0.32
